,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,description,website,market_cap,net_income_before_eo,$_last_5_day,z_score
10,ABT US Equity,Abbott Laboratories,47.48,$71.49B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt,"Abbott Laboratories discovers, develops, manufactures, and sells a broad and diversified line of health care products and services. The Company's products include pharmaceuticals, nutritional, diagnostics, and vascular products. Abbott markets its products worldwide through affiliates and distributors.",www.abbott.com,0,0,4,2
11,ABBV US Equity,AbbVie Inc.,61.3,$97.67B,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv,"AbbVie Inc. researches and develops pharmaceutical products. The Company produces pharmaceutical drugs for specialty therapeutic areas such as immunology, chronic kidney disease, Hepatitis C, women's health, oncology, and neuroscience. AbbVie also offers treatments for diseases including Multiple Sclerosis, Parkinson's, and Alzheimer's disease.",www.abbvie.com,0,0,7,1
12,ANF US Equity,Abercrombie & Fitch Company,25.79,$1.79B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf,"Abercrombie & Fitch Co.  a specialty retailer that operates stores and direct-to-consumer operations. Through these channels, the Company sells: casual sportswear apparel, including knit and woven shirts, graphic t-shirts, fleece, jeans and woven pants, shorts, sweaters, and outerwear; personal care products; and accessories for men, women and kids.",www.abercrombie.com,0,0,2,-1
13,GCH US Equity,"Aberdeen Greater China Fund, Inc.",10.1732,$93.59M,1992,n/a,n/a,http://www.nasdaq.com/symbol/gch,"Aberdeen Greater China Fund, Inc. is a non-diversified, closed-end management investment company incorporated in the USA. The Fund's objective seeks long-term capital appreciation. The Fund invests primarily in listed equity securities that derive a significant portion of their revenues from goods produced or sold, investments made or services performed in China.",www.greaterchinafund.com,0,0,0,0
14,JEQ US Equity,"Aberdeen Japan Equity Fund, Inc. ",7.5777,$107.08M,1992,n/a,n/a,http://www.nasdaq.com/symbol/jeq,"Aberdeen Japan Equity Fund, Inc. is a diversified, closed-end management company incorporated in the USA. The Fund's objective is to outperform over the long-term, on a total return basis, the Tokyo Stock Price Index. The Fund invests substantiallyall of its assets in equity securities of companies listed on the First or Second Section of the Tokyo Stock Exchange.",www.aberdeen-asset.us/cef,0,0,4,2
15,SGF US Equity,"Aberdeen Singapore Fund, Inc.",11.81,$90.37M,1990,n/a,n/a,http://www.nasdaq.com/symbol/sgf,"Aberdeen Singapore Fund Inc is a non-diversified, closed-end management investment company incorporated in the USA. The Fund's objective is capital appreciation. The Fund invests primarily in Singapore equity securities, and to a lesser degree, investment in equity securities issued by companies in ASEAN Group countries.",www.aberdeen-asset.us,0,0,0,-1
16,ABM US Equity,ABM Industries Incorporated,30.62,$1.71B,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm,"ABM Industries Incorporated is a facility services contractor.  The Company provides air conditioning, engineering, janitorial, lighting, parking, security, and other outsourced facility services to commercial, industrial, and institutional customers in cities across North America.",www.abm.com,0,0,2,2
17,AKR US Equity,Acadia Realty Trust,35.26,$2.39B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/akr,"Acadia Realty Trust is a fully integrated and self-managed real estate investment trust. The trust specializes in the acquisition, redevelopment and operation of shopping centers which are anchored by grocery and value-oriented retail.  Acadia is headquartered in White Plains, NY.",www.acadiarealty.com,0,0,-1,2
18,ACN US Equity,Accenture plc.,90.49,$59.3B,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/acn,"Accenture PLC provides management and technology consulting services and solutions.  The Company delivers a range of specialized capabilities and solutions to clients across all industries on a worldwide basis.  Accenture's network of businesses provides consulting, technology, outsourcing, and alliances.",www.accenture.com,0,0,1,2
19,ACCO US Equity,Acco Brands Corporation,7.69,$862.12M,n/a,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/acco,"Acco Brands Corporation manufactures office products.  The Company produces staplers, daily scheduling diaries, shredders, laminating equipment, and presentation boards.",www.accobrands.com,0,0,1,0
20,ACW US Equity,Accuride Corporation New,5.32,$253.86M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/acw,"Accuride Corp. manufactures and supplies commercial vehicle components in North America. The Company's products include commercial vehicle wheels, wheel-end components and assemblies, truck body and chassis parts, seating assemblies and other commercial vehicle components.",www.accuridecorp.com/,0,0,4,0
21,ACE US Equity,Ace Limited,114.5,$37.98B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ace,"ACE Limited is the holding company for the ACE Group of Companies, a property and casualty insurance business.  The Group provides a diversified range of products and services to clients through operations in countries around the world.  ACE provides specialty insurance and reinsurance products.",www.acelimited.com,0,0,1,1
22,ATV US Equity,"Acorn International, Inc.",1,$27.58M,2007,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/atv,"Acorn International Inc. is an integrated multi-platform marketing company. The Company develops, promotes, and sells consumer products and services through its direct TV sales and nationwide distribution network.",na,0,0,-20,-2
23,ACT US Equity,"Actavis, Inc.",295.77,$78.4B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/act,"Actavis plc manufactures specialty pharmaceuticals. The Company develops, manufactures and distributes generic, brand and over-the-counter products. Actavis offers its pharmaceutical drugs around the world.",www.actavis.com,0,0,5,2
24,ATU US Equity,Actuant Corporation,25.58,$1.58B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atu,"Actuant Corporation manufactures and markets a broad range of industrial products and systems.  The Company sells branded, specialized electrical and industrial tools to hydraulic and electrical wholesale distributors, to catalog houses, and through retail distribution channels.  Actuant also designs and markets customized motion control systems for original equipment manufacturers.",www.actuant.com,0,0,1,-2
25,AYI US Equity,Acuity Brands Inc,160.18,$6.95B,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ayi,"Acuity Brands, Inc. designs, produces, and distributes a full range of indoor and outdoor lighting and control systems for commercial and institutional, industrial, infrastructure, and residential applications. The Company manufactures or procures lighting products primarily in North America, Europe, and Asia.",www.acuitybrands.com,0,0,-1,1
26,ADX US Equity,Adams Express Company (The),14.12,$1.31B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adx,"Adams Express Company is a diversified, closed-end management company incorporated in the USA.  The Fund's objective is preservation of capital, the attainment of reasonable income from investments and, in addition, an opportunity for capital appreciation.  The Fund invests in common stock or securities convertible into common stocks.",www.adamsexpress.com,0,0,1,1
27,AGRO US Equity,Adecoagro S.A.,8.05,$985.17M,2011,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/agro,"Adecoagro S.A. is an agricultural company in South America, with operations in Argentina, Brazil and Uruguay. The Company is currently involved in a broad range of businesses, including farming crops and other agricultural products, cattle and dairy operations, sugar, ethanol and energy production and land transformation.",www.adecoagro.com,0,0,0,0
28,ADPT US Equity,Adeptus Health Inc.,41.89,$864.03M,2014,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adpt,Adeptus Health Inc. operates an independent network of free-standing emergency rooms. The Company provides emergency medical care to patients in Texas and Colorado.,www.adhc.com,0,0,22,2
29,ADT US Equity,ADT Corporation,39.38,$6.74B,n/a,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/adt,"The ADT Corporation provides security services.  The Company provides electronic security, interactive automation and related monitoring services for residences and small businesses in North America.",www.adt.com,0,0,3,0
30,AAP US Equity,Advance Auto Parts Inc,155.06,$11.32B,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/aap,"Advance Auto Parts, Inc. is a retailer of auto parts and accessories. The Company operates stores in various states, primarily  located in the northeastern, southeastern, and midwestern regions of the United States, and in Puerto Rico and the Virgin Islands.",www.advanceautoparts.com,0,0,2,1
31,WMS US Equity,"Advanced Drainage Systems, Inc.",26.22,$1.4B,2014,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/wms,"Advanced Drainage Systems, Inc. manufactures water drainage structures and supplies. The Company produces pipe fittings, subsurface storm water management surface drainage structures, leaching chambers, basins, channels, grates, and grease interceptors. Advanced Drainage Systems markets and sells its products worldwide.",www.ads-pipe.com,0,0,6,1
32,ASX US Equity,"Advanced Semiconductor Engineering, Inc.",7.28,$11.43B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/asx,na,www.asetwn.com.tw,0,0,0,2
33,AAV US Equity,Advantage Oil & Gas Ltd,5.39,$916.66M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aav,Advantage Oil & Gas Ltd. is an intermediate oil and natural gas corporation with properties located in Western Canada.,www.advantageog.com,0,0,8,0
34,ATE US Equity,Advantest Corporation (Kabushiki Kaisha Advantest) ADS,12.78,$2.23B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ate,"ADVANTEST CORPORATION produces semiconductor testing devices and electronic measuring instruments.  The Company's products include large-scale integration (LSI) test systems, memory test systems, dynamic test handlers, network analyzers, electronic meters, optical testing devices, and signal sources.",www.advantest.co.jp,0,0,0,0
35,AVK US Equity,Advent Claymore Convertible Securities and Income Fund,16.97,$400.17M,2003,n/a,n/a,http://www.nasdaq.com/symbol/avk,"Advent Claymore Convertible Securities and Income Fund is a diversified, closed-end management investment company incorporated in the USA.  The Fund's objective is to provide total return, through a combination of capital appreciation and current income.  The Fund invests 80% of its assets in a diversified portfolio of convertible and non-convertible securities.",www.guggenheimfunds.com/AVK,0,0,0,0
36,AGC US Equity,Advent Claymore Convertible Securities and Income Fund II,6.54,$210.85M,2007,n/a,n/a,http://www.nasdaq.com/symbol/agc,"Advent Claymore Convertible Securities and Income Fund II is a diversified, closed-end management investment company. The Fund's objective is to provide total return, through a combination of capital appreciation and current income. The Fund invests at least 80% of its managed assets in a diversified portfolio of convertible securities and non-convertible income-producing securities.",www.guggenheimfunds.com/AGC,0,0,0,-1
37,LCM US Equity,Advent/Claymore Enhanced Growth & Income Fund,9.2699,$126.1M,2005,n/a,n/a,http://www.nasdaq.com/symbol/lcm,"Advent/Claymore Enhanced Growth & Income Fund is a diversified closed-end investment management company incorporated in the USA. The Fund's objective is to provide capital appreciation and current income, invests at least 70% of its assets in a diversified, global portfolio of convertible and Equity securities and also engages in a covered call strategy on a portion of its holdings.",www.guggenheimfunds.com/LCM,0,0,0,-1
38,ACM US Equity,AECOM,29.15,$4.53B,2007,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acm,"AECOM provides professional technical services to the United States government, state, local, and non-U.S. governments and agencies, and commercial customers.  The Company's services include consulting, planning, architecture, engineering, construction management, project management, asset management, environmental services, and design-build services.",www.aecom.com,0,0,8,0
39,ANW US Equity,Aegean Marine Petroleum Network Inc.,14.35,$692.35M,2006,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/anw,Aegean Marine Petroleum Network Inc. supplies and markets refined marine fuel and lubricants to ships in port and at sea. The Company also owns and operates a fleet of bunkering tankers in multiple jurisdictions.,www.ampni.com,0,0,-2,2
40,AEB US Equity,Aegon NV,24.2,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeb,na,na,0,0,0,0
41,AED US Equity,Aegon NV,25.74,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aed,na,na,0,0,0,0
42,AEG US Equity,Aegon NV,7.74,$19.26B,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeg,na,www.aegon.com,0,0,1,0
43,AEH US Equity,Aegon NV,25.64,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeh,na,na,0,0,0,0
44,AEK US Equity,Aegon NV,28.305,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aek,na,na,0,0,0,0
45,AER US Equity,Aercap Holdings N.V.,44.34,$9.41B,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aer,"AerCap Holdings NV is an integrated global aviation company. The Company offers aircraft and engine leasing, trading and parts sales as as well as aircraft management services  aircraft and engine maintenance, repair and overhaul, or MRO, services and aircraft disassemblies through certified repair stations.",www.aercap.com,0,0,4,0
46,HIVE US Equity,"Aerohive Networks, Inc.",4.69,$215.35M,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/hive,"Aerohive Networks, Inc. supplies wireless infrastructure equipments. The Company designs cooperative control wireless architecture, cloud-enabled network management, routing, and virtual private network solutions. Aerohive serves the healthcare, education, manufacturing, distribution, and retail industries throughout the United States.",www.aerohive.com,0,0,14,-1
47,ARO US Equity,Aeropostale Inc,3.72,$294.34M,2002,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/aro,"Aeropostale, Inc. is a mall-based retailer of casual apparel and accessories that targets young women and men in the pre-teen and teenage market. The Company's stores provide active-oriented, fashion basic merchandise. Aeropostale operates stores throughout the United States.",www.aeropostale.com,0,0,3,0
48,AET US Equity,Aetna Inc.,97.92,$34.44B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aet,"Aetna Inc. is a diversified health care benefits company that provides healthcare and related benefits, serving health care members, dental members, and group insurance customers.  The Company offers medical, pharmacy, dental, behavioral health, group life and disability plans, and medical management capabilities and health care management services for Medicaid plans.",www.aetna.com,0,0,0,2
49,AFM US Equity,"Affiliated Managers Group, Inc.",25.739,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/afm,na,na,0,0,0,0
50,AMG US Equity,"Affiliated Managers Group, Inc.",218.31,$12.13B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/amg,"Affiliated Managers Group, Inc. is a global asset management company that invests in boutique investment management firms.  The Company allows the firms in which it invests operational autonomy while providing assistance in strategic matters, marketing, distribution, product development, and operations.",www.amg-boston.com,0,0,1,1
51,MGR US Equity,"Affiliated Managers Group, Inc.",25.99,n/a,2012,Finance,Investment Managers,http://www.nasdaq.com/symbol/mgr,na,na,0,0,0,0
52,AFL US Equity,Aflac Incorporated,62.13,$27.99B,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afl,"Aflac, Inc. is a general business holding company. The Company, through its subsidiaries, provides supplemental insurance to individuals in the United States and Japan.  Aflac's products include accident/disability plans, cancer expense plans, short-term disability plans, sickness and hospital indemnity plans, hospital intensive care plans, and fixed-benefit dental plans.",www.aflac.com,0,0,0,0
53,AFSD US Equity,Aflac Incorporated,25.29,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afsd,na,na,0,0,0,0
54,MITT US Equity,"AG Mortgage Investment Trust, Inc.",18.64,$529.12M,2011,n/a,n/a,http://www.nasdaq.com/symbol/mitt,"AG Mortgage Investment Trust, Inc. operates as a  real estate investment trust. The Company invests in, acquires, and manages a portfolio of residential mortgage and financial assets, and other real estate related securities.",www.agmortgageinvestmenttrust.com,0,0,1,0
55,MITT^A US Equity,"AG Mortgage Investment Trust, Inc.",25.5299,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^a,na,na,0,0,0,0
56,MITT^B US Equity,"AG Mortgage Investment Trust, Inc.",25,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^b,na,na,0,0,0,0
57,AGCO US Equity,AGCO Corporation,50.46,$4.64B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/agco,"AGCO Corporation manufactures and distributes agricultural equipment throughout the world.  The Company sells a range of agricultural equipment and related replacement parts, including tractors, combines, hay tools, sprayers, and forage equipment.  AGCO markets its products under a variety of brand names, including Massey Ferguson, AGCO, Tye, GLEANER, and Hesston.",www.agcocorp.com,0,0,3,0
58,A US Equity,"Agilent Technologies, Inc.",41.95,$14.09B,1999,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/a,"Agilent Technologies, Inc. provides core bio-analytical and electronic measurement solutions to the communications, electronics, life sciences and chemical analysis industries. The Company's operations include electronic measurement, bio-analytical measurement, semiconductor and board testing.",www.agilent.com,0,0,4,1
59,GAS US Equity,"AGL Resources, Inc.",50.09,$5.99B,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/gas,"AGL Resources Inc. primarily sells and distributes natural gas to customers in Georgia and southeastern Tennessee.  The Company also holds interests in other energy-related businesses, including natural gas and electricity marketing, wholesale and retail propane sales, gas supply services, and consumer products.",www.aglr.com,0,0,0,0
60,AEM US Equity,Agnico Eagle Mines Limited,30.37,$6.53B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aem,"Agnico Eagle Mines Limited is a gold producer with operations primarily in northwestern Quebec, northern Mexico, northern Finland and Nunavut.  The Company also has exploration activities in Canada, Europe, Latin America, and the United States.  Agnico Eagle Mines focuses on the exploration, development, and expansion of its gold properities primarily from underground operations.",www.agnicoeagle.com,0,0,-6,0
61,ADC US Equity,Agree Realty Corporation,32.67,$573.03M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/adc,"Agree Realty Corporation is a real estate investment trust that owns, manages and develops primarily neighborhood community shopping centers or single tenant properties, located in twelve states and leased under net leases to major retail tenants.",www.agreerealty.com,0,0,-1,1
62,GRO US Equity,Agria Corporation,1.05,$58.15M,2007,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/gro,"Agria Corp operates as a global agricultural company with principal segments being: seed & grain, crop protection, nutrients & merchandise, and rural services.",www.agriacorp.com,0,0,0,-1
63,AGU US Equity,Agrium Inc.,108.46,$15.59B,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/agu,"Agrium Inc. supplies nitrogen, potash and phosphate for agricultural, industrial, and specialty use. The Company operates throughout the Americas while it markets its products globally.",www.agrium.com,0,0,1,2
64,AL US Equity,Air Lease Corporation,39.29,$4.02B,2011,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/al,"Air Lease Corporation is an aircraft leasing company. The Company is principally  engaged in purchasing commercial aircraft and leasing to airlines around the world. Air Lease operates on a global basis, providing aircraft to airline customers in regions that include Asia, the Pacific Rim, Latin America, the Middle East and Eastern Europe.",www.airleasecorp.com,0,0,2,1
65,APD US Equity,"Air Products and Chemicals, Inc.",157.66,$33.78B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/apd,"Air Products and Chemicals, Inc. produces industrial atmospheric and specialty gases, and performance materials and equipment. The Company's products include oxygen, nitrogen, argon, helium, specialty surfactants and amines, polyurethane, epoxy curatives and resins. Air Products and Chemicals, Inc. products are used in the beverage, health and semiconductors fields.",www.airproducts.com,0,0,3,2
66,AYR US Equity,Aircastle Limited,23.31,$1.89B,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/ayr,"Aircastle Ltd. is a global company that acquires, leases, and sells high-utility commercial jet aircraft to airlines throughout the world.",www.aircastle.com,0,0,9,2
67,ARG US Equity,"Airgas, Inc.",117.47,$8.82B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/arg,"Airgas, Inc. distributes industrial, medical, and specialty gases and related equipment.  The Company also produces and distributes liquid carbon dioxide and dry ice in the United States.  Airgas' integrated distribution network consists of branch locations, distribution centers, and outbound telemarketing operations.",www.airgas.com,0,0,3,1
68,AKS US Equity,AK Steel Holding Corporation,4.47,$791.52M,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/aks,"AK Steel Holding Corporation, through subsidiaries, produces carbon, stainless and electrical flat-rolled steel for automotive, infrastructure, manufacturing and other markets; as well as carbon and stainless tubing for truck, automotive, and other markets. Facilities include blast furnace, electric furnace and tubing operations in Ohio, Kentucky, Pennsylvania and Indiana.",www.aksteel.com,0,0,0,0
69,ALP^N US Equity,Alabama Power Company,25.65,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/alp^n,na,na,0,0,0,0
70,ALP^O US Equity,Alabama Power Company,26.95,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/alp^o,na,na,0,0,0,0
71,ALP^P US Equity,Alabama Power Company,25.53,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alp^p,na,na,0,0,0,0
72,ALG US Equity,"Alamo Group, Inc.",49.19,$556.37M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/alg,"Alamo Group Inc. designs, manufactures, and distributes heavy duty, tractor-mounted mowing and vegetation maintenance equipment and replacement parts, for industrial and agricultural end-users.  The Company sells its products in Europe and the United States.",www.alamo-group.com,0,0,2,0
73,AGI US Equity,Alamos Gold Inc,5.75,$732.31M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/agi,"Alamos Gold Inc. acquires, explores, develops and produces gold. The Company has exploration and development activities in parts of Mexico and Turkey.",www.alamosgold.com,0,0,0,-1
74,ALK US Equity,"Alaska Air Group, Inc.",64.14,$8.42B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/alk,na,www.alaskaair.com,0,0,2,2
75,AIN US Equity,Albany International Corporation,37.74,$1.2B,n/a,Basic Industries,Textiles,http://www.nasdaq.com/symbol/ain,"Albany International Corporation designs, manufactures, and markets paper machine clothing. Paper machine clothing consists of large continuous belts of engineered fabrics that are installed on paper machines and carry the paper stock through each stage of the paper production process. The Company sells its products in the United States, Canada, and overseas.",www.albint.com,0,0,0,1
76,ALB US Equity,Albemarle Corporation,55.47,$4.34B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/alb,"Albemarle Corporation produces specialty and fine chemicals.  The Company's chemicals are additives to or intermediates for plastics, polymers and elastomers, cleaning products, agricultural compounds, pharmaceuticals, photographic chemicals, drilling compounds, and biocides.  Albemarle produces the majority of its products in the United States.",www.albemarle.com,0,0,2,-1
77,ALU US Equity,Alcatel Lucent,3.89,$10.96B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alu,"Alcatel-Lucent manufactures telecommunications equipment, and offers telecommunications services. The Company's telecommunications equipment and services enable its customers to send or receive virtually any type of voice or data transmission.  Alcatel-Lucent designs and builds public and private networks, communications systems and software, and data networking systems.",www.alcatel-lucent.com,0,0,0,0
78,AA US Equity,Alcoa Inc.,15.79,$18.61B,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/aa,"Alcoa Inc. offers lightweight metals, products and solutions. The Company produces primary aluminum, fabricated aluminum and is a miner of bauxite and refiner of alumina. Alcoa serves customers worldwide primarily in the automotive, aerospace, consumer electronics, packaging, defense, construction, and oil and gas industries.",www.alcoa.com,0,0,0,1
79,AA^B US Equity,Alcoa Inc.,50.68,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aa^b,na,na,0,0,0,0
80,ALR US Equity,Alere Inc.,44.58,$3.72B,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/alr,"Alere, Inc. offers patient diagnosis, monitoring and health management services.  The Company produces consumer and professional medical diagnostic products, and remotely monitors patients for pre-eclampsia, and patients who are prescribed Warfarin for atrial fibrillation.",www.alere.com,0,0,1,2
81,ALR^B US Equity,Alere Inc.,322.7501,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alr^b,na,na,0,0,0,0
82,ALEX US Equity,"Alexander & Baldwin Holdings, Inc.",40.32,$1.97B,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/alex,"Alexander & Baldwin Inc operates a real estate and agriculture business.  The Company owns, operates and manages land nationwide.  Alexander & Baldwin also cultivates raw and specialty sugars, and molasses.",www.alexanderbaldwin.com,0,0,0,0
83,ALX US Equity,"Alexander&#39;s, Inc.",433.98,$2.22B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/alx,"Alexander's, Inc. leases, manages, develops and redevelops real estate properties. The Company focuses on properties in the metropolitan and suburban areas of New York City where its department stores had previously been located. Alexander's owns operating properties and properties undergoing redevelopment.",www.alx-inc.com,0,0,-5,1
