,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,description,website,market_cap,net_income_before_eo,$_last_5_day,z_score
11,AE US Equity,"Adams Resources & Energy, Inc.",66.98,$282.49M,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ae,"Adams Resources & Energy, Inc. purchases, distributes, and markets crude oil and natural gas.  The Company also explores and develops oil and gas properties, and transports liquid chemicals in tank trucks.",www.adamsresources.com,0,0,1,0
12,ADK US Equity,Adcare Health Systems Inc,4.22,$81.11M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adk,"AdCare Health Systems, Inc. develops, owns, and manages retirement communities, assisted living facilities, nursing homes, and home health care services in the state of Ohio. The Company provides help with activities of daily living for seniors, senior housing, nursing homes, and consulting services.",www.adcarehealth.com,0,0,2,0
13,ADK^A US Equity,Adcare Health Systems Inc,28.11,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adk^a,na,na,0,0,0,0
14,API US Equity,"Advanced Photonix, Inc.",0.4,$14.95M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/api,na,www.advancedphotonix.com,0,0,-3,-1
15,ACY US Equity,AeroCentury Corp.,10.0,$15.43M,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/acy,"AeroCentury Corp. is an operating lessor and finance company which specializes in leasing used regional aircraft and engines.  The Company's aircraft and engines are on lease to regional airlines and commercial users in the United States, United Kingdom, Europe, and South America.",www.aerocentury.com,0,0,20,-1
16,WGA US Equity,"AG&E Holdings, Inc.",0.8601,$10.08M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/wga,"AG&E Holdings Inc is a global distributor and Manufacturer of Liquid Crystal Displays (LCD's), color video monitors and other related distribution products for a variety of markets.",www.wgec.com,0,0,7,-1
17,AIRI US Equity,Air Industries Group,9.97,$70.79M,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/airi,Air Industries Group manufactures aircraft structural parts. The Company produces parts and assemblies primarily for defense contractors.,www.airindmc.com,0,0,1,0
18,AA^ US Equity,Alcoa Inc.,87.0,n/a,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/aa^,na,na,0,0,0,0
19,AXX US Equity,Alderon Iron Ore Corp.,0.24,$31.71M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axx,Alderon Iron Ore Corporation explores for iron ore.  The Company operates the Kami Iron Ore Project in western Labrador.,www.alderonironore.com,0,0,-9,-2
20,AXU US Equity,Alexco Resource Corp,0.4799,$33.4M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axu,Alexco Resource Corporation is a mineral exploration and production company. The Company mines for minerals that include gold and silver.,www.alexcoresource.com,0,0,2,-1
21,ANV US Equity,Allied Nevada Gold Corp.,0.92,$115.9M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/anv,"Allied Nevada Gold Corporation evaluates, acquires, explores, and advances gold exploration and potential development projects.  The Company's holdings include projects in Nevada, California, Idaho and Colorado in the United States, as well as Bolivia, Mexico, Indonesia and Australia.",www.alliednevada.com,0,0,-7,-1
22,AAU US Equity,"Almaden Minerals, Ltd.",1.1,$80.46M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aau,"Almaden Minerals Ltd. acquires, explores, and develops gold-silver-copper properties.  The Company has projects in British Columbia and the Yukon, both located in Canada, and in Mexico.  Almaden's focus is on gold production.",www.almadenminerals.com,0,0,2,-1
23,APT US Equity,"Alpha Pro Tech, Ltd.",2.76,$50.5M,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/apt,"Alpha Pro Tech, Ltd. develops, manufactures, and markets disposable protective apparel and consumer products.  The Company sells its products primarily under the Alpha Pro Tech name to the medical, dental, industrial, cleanroom, consumer, food service, and pet markets.",www.alphaprotech.com,0,0,1,0
24,ALTV US Equity,Alteva (D/B/A),7.85,$46.91M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/altv,"Alteva, Inc. is an independent telephone company with accesslines in New York State and in New Jersey. The Company manages its operations  as two business segments, telephone service (including local, long distance and cellular) and internet service.",www.wvtc.com,0,0,3,0
25,AAMC US Equity,Altisource Asset Management Corp,203.0,$444.54M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/aamc,Altisource Asset Management Corp provides asset management and corporate governance services.  The Company is based in the U.S. Virgin Islands,na,0,0,11,-1
26,DIT US Equity,AMCON Distributing Company,79.5,$48.96M,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/dit,"AMCON Distributing Company operates distribution centers and retail food stores in the Great Plains, Rocky Mountain, and Southern regions of the United States.  The Company sells a variety of consumer products, including cigarettes, candy, beverages, groceries, paper products, beauty care products, natural food, frozen products, and institutional food service products.",www.amcon.com,0,0,-3,0
27,APP US Equity,American Apparel Inc,0.9005,$157.39M,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/app,"American Apparel, Inc. manufactures, distributes, and retails branded fashion apparel. The Company also wholesales t-shirts and other casual wear to distributors and screen printers, as well as operates a retail e-commerce website.",www.americanapparel.net,0,0,2,0
28,ADGE US Equity,American DG Energy Inc.,0.48,$25.18M,n/a,Energy,Electric Utilities: Central,http://www.nasdaq.com/symbol/adge,American DG Energy Inc. distributes and operates on-site cogeneration systems that produce both electricity and heat. The Company also distributes and operates natural gas powered cooling systems.,www.americandg.com,0,0,-11,-2
29,AMZG US Equity,American Eagle Energy Corporation.,0.6359,$19.36M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/amzg,na,www.americaneagleoil.com,0,0,-6,-2
30,ALN US Equity,American Lorain Corporation,1.28,$44.69M,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/aln,"American Lorain Corporation engages in the development, manufacture and sale of processed food products worlwide. The Company operates through its four indirect subsidiaries in producing 3 interrelated divisions of food: chestnut products, processed foods and convenience foods.",www.loraingroup.com,0,0,5,1
31,AMS US Equity,American Shared Hospital Services,2.65,$14.21M,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/ams,American Shared Hospital Services provides stereotactic radiosurgery services to several medical centers in the United States.  The Company's radiosurgery is an alternative to conventional brain surgery.  American Shared is also developing a business plan for The Operating Room for the 21st Century and owns an insurance services business.,www.ashs.com,0,0,6,0
32,AMPE US Equity,"Ampio Pharmaceuticals, Inc.",5.81,$301.96M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ampe,"Ampio Pharmaceuticals, Inc. researches and develops drugs.  The Company researches treatments for metabolic disease, eye disease, kidney disease, inflammation and CNS disease.  The Company's product pipeline includes some new uses for previously approved drugs.",www.ampiopharma.com,0,0,-1,0
33,AXN US Equity,"Aoxing Pharmaceutical Company, Inc.",1.95,$132.54M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/axn,"Aoxing Pharmaceutical Company Inc., is a specialty pharmaceutical company. The Company specializes in the research, development, manufacturing, and distribution of a variety of narcotics and pain-management products.",www.chinapainmed.com,0,0,282,12
34,AMCO US Equity,"Armco Metals Holdings, Inc.",1.3090000000000002,$7.33M,n/a,Consumer Durables,Steel/Iron Ore,http://www.nasdaq.com/symbol/amco,"Armco Metals Holdings Inc. imports, sells and distributes metal ores, and non-ferrous metals to the metal refinery industry in the Peoples Republic of China. The Company also operates a scrap metal recycling facility in the Banqiao Industrial Zone of Lianyungang Economic Development Zone in the Jiangsu province of the PRC.",www.armcometals.com,0,0,-12,-1
35,HRT US Equity,Arrhythmia Research Technology Inc.,7.68,$21.18M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/hrt,"Arrhythmia Research Technology, Inc. markets and manufactures computerized medical instruments.  The Company's instruments acquire data and analyze electrical impulses of the heart to detect and aid in the treatment of potentially lethal arrhythmias.  Arrhythmia's product lines include signal averaging electrocardiographic equipment and cardiac catheterization equipment.",www.arthrt.com,0,0,0,1
36,AKG US Equity,Asanko Gold Inc.,1.55,$305.11M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/akg,na,www.asanko.com,0,0,5,-1
37,AINC US Equity,Ashford Inc.,145.07,$290.14M,2014,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/ainc,"Ashford Inc. intends to provide asset management and external advisory services to other entities, initially within the hospitality industry.",www.ashfordinc.com,0,0,1,1
38,ASB/WS US Equity,Associated Banc-Corp,2.39,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asb/ws,"Associated Banc-Corp is a Midwest banking franchise headquartered in Green Bay, Wisconsin. The Bank offers a full range of financial products and services through banking locations serving communities throughout Wisconsin, Illinois, and Minnesota, and commercial financial services in Indiana, Michigan, Missouri, Ohio and Texas.",www.assocbank.com,0,0,0,0
39,AST US Equity,"Asterias Biotherapeutics, Inc.",3.72,$114.96M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ast,"Asterias Biotherapeutics, Inc. is a biotechnology company focused on the field of regenerative medicine.  The Company's technology centers on stem cells capable of becoming all of the cell types in the human body, a property also called pluripotency.",www.asteriasbiotherapeutics.com,0,0,0,0
40,ATL US Equity,Atlatsa Resources Corporation,0.179,$99.22M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/atl,na,www.anooraqresources.com,0,0,-3,-1
41,AWX US Equity,Avalon Holdings Corporation,3.53,$13.43M,n/a,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/awx,"Avalon Holdings Corporation provides transportation services, waste disposal brokerage and management services, and technical environmental services.  The Company's technical environmental services include environmental engineering, site assessment, analytical laboratory, remediation, and landfill management services.  Avalon serves industrial, commercial, and governmental customers.",www.avalonholdings.com,0,0,3,0
42,AVL US Equity,"Avalon Rare Metals, Inc.",0.31,$43.63M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/avl,"Avalon Rare Metals, Inc. is a Canadian mineral development company with a primary focus on the rare metals and minerals. The Company currently owns and operates the Nechalacho Project located near Thor Lake,NWT.",www.avalonraremetals.com,0,0,29,-1
43,ASM US Equity,Avino Silver,1.52,$54M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/asm,"Avino Silver & Gold Mines owns an interest in Cia Minera Mexicana de Avino S.A., operator of the Avino Silver Mine near Durango, Mexico.  The primary metal produced at the Avino Mine is silver, but small quantities of lead, copper and gold are also mined.  In addition, the Company explores for and develops its mining properties near Vancouver, British Columbia.",www.avino.com,0,0,-1,0
44,BTG US Equity,B2Gold Corp,1.62,$1.49B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/btg,"B2Gold Corporation is a gold exploration and production company. The Company is a Vancouver based gold producer with mines in Nicaragua and a portfolio of development and exploration assets in Nicaragua, Colombia and Uruguay.",www.b2gold.com,0,0,-4,-1
45,BONE US Equity,"Bacterin International Holdings, Inc.",3.6039999999999996,$24.06M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/bone,"Bacterin International Holdings, Inc. produces human tissue for orthopedic procedures.  The Company produces allografts of human calcellous bone which has been demineralized.  Bacterin also produces medical devices for orthopedic, plastic, and cardiovascular surgery; and antimicrobial coatings for medical devices.",www.bacterin.com,0,0,20,-1
46,BTN US Equity,"Ballantyne Strong, Inc",4.199,$60.55M,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/btn,"Ballantyne Strong Inc. manufactures and distributes commercial motion picture projection, specialty lighting and projection equipment, as well as digital cinema equipment and services. The Company supplies theater chains, arenas, television and motion picture production studios, theme parks, and architectural sites around the world.",www.ballantyne-omaha.com,0,0,0,0
47,BKJ US Equity,"Bancorp of New Jersey, Inc",10.719000000000001,$57.56M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bkj,"Bancorp of New Jersey, Inc. is a bank holding company. The Company through its subsidiaries provides personal and business banking services including checking, savings, residential mortgage, home equity loans, letters of credit, money market accounts, certificates of deposit, and individual retirement accounts. Bancorp of New Jersey conducts business in the United States.",www.bonj.net,0,0,2,-1
48,BCV US Equity,Bancroft Fund Limited,20.61,$108.04M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bcv,na,www.bancroftfund.com,0,0,1,1
49,BAA US Equity,BANRO CORPORATION,0.15,$37.82M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/baa,"Banro Corporation, through its subsidiary, explores and develops gold properties.  The Company currently holds mining permits and mining concessions in the Democratic Republic of Congo in Africa.",www.banro.com,0,0,4,-1
50,BHB US Equity,"Bar Harbor Bankshares, Inc.",32.78,$194.67M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bhb,"Bar Harbor Bankshares is the holding company for Bar Harbor Banking and Trust Company and BTI Financial Group.  The Bank provides a full range of banking services to individual and corporate customers throughout eastern Maine. Services include savings and time deposits, lending, credit card servicing, brokerage, investment management services, and trust services.",www.bhbt.com,0,0,0,2
51,BRN US Equity,"Barnwell Industries, Inc.",2.5,$20.69M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/brn,"Barnwell Industries, Inc. acquires, explores, and develops oil and natural gas properties, principally in Alberta, Canada.  The Company also drills water wells, as well as installs and repairs water pumping systems in Hawaii.",www.brninc.com,0,0,-4,-1
52,BIR^A US Equity,"Berkshire Income Realty, Inc.",27.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bir^a,na,na,0,0,0,0
53,BGSF US Equity,BG Staffing Inc,13.0,$72.91M,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/bgsf,"BG Staffing, Inc. offers commercial and professional temporary staffing, temp-to-perm, and permanent placement services to a variety of industries.",www.bgstaffing.com,0,0,0,0
54,BTX US Equity,"BioTime, Inc.",4.13,$343.4M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/btx,"BioTime, Inc. researches and develops synthetic solutions that can be used as blood plasma volume expanders, blood replacement solutions during hypothermic surgery, and organ preservation solutions.  The Company also operates in regenerative medicine sector, where it develops stem cell related products and technology for diagnostic, therapeutic and research use.",www.biotimeinc.com,0,0,2,1
55,BTX/WS US Equity,"BioTime, Inc.",1.28,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/btx/ws,"BioTime, Inc. researches and develops synthetic solutions that can be used as blood plasma volume expanders, blood replacement solutions during hypothermic surgery, and organ preservation solutions.  The Company also operates in regenerative medicine sector, where it develops stem cell related products and technology for diagnostic, therapeutic and research use.",www.biotimeinc.com,0,0,11,0
56,BGI US Equity,Birks Group Inc.,1.3632,$24.44M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bgi,"Birks Group Inc. is a North American luxury retailer, designer, manufacturer, and wholesaler of fine jewelry, timepieces, sterling silverware, and gifts.  The Company has stores operating across Canada, and in Florida and Georgia, both located in the United States.",www.birksandmayors.com,0,0,-6,0
57,BZM US Equity,BlackRock Maryland Municipal Bond Trust,14.44,$29.95M,2002,n/a,n/a,http://www.nasdaq.com/symbol/bzm,"BlackRock Maryland Municipal Bond Trust is a non-diversified, closed-end management investment company incorporated in the USA.  The Trust's objective is to provide current income exempt from regular Federal and Maryland income tax. The Trust invests primarily in investment grade quality Maryland municipal bonds.",www.blackrock.com,0,0,0,0
58,MHE US Equity,BlackRock Massachusetts Tax-Exempt Trust,14.0918,$33.3M,1993,n/a,n/a,http://www.nasdaq.com/symbol/mhe,"BlackRock Massachusetts Tax-Exempt Trust is a non-diversified, closed-end management investment company incorporated in the USA.  The Trust's objective is a high level of current income exempt from income taxes.  The Trust invests primarily in Massachusetts investment grade tax-exempt obligations issued on behalf of not-for-profit health and education institutions.",www.blackrock.com,0,0,-1,0
59,BLE US Equity,BlackRock Municipal Income Trust II,15.54,$364.46M,2002,n/a,n/a,http://www.nasdaq.com/symbol/ble,"BlackRock Municipal Income Trust II is a diversified, closed-end management investment company incorporated in the USA.  The Trust's objective is to provide current income exempt from regular Federal income tax.  The Trust invests primarily in investment grade municipal bonds that are underrated or undervalued.",www.blackrock.com,0,0,-2,0
60,BLJ US Equity,Blackrock New Jersey Municipal Bond Trust,15.79,$36.71M,2002,n/a,n/a,http://www.nasdaq.com/symbol/blj,"BlackRock New Jersey Municipal Bond Trust is a non-diversified, closed-end management investment company incorporated in the USA.  The Trust's objective is current income exempt from regular Federal and New Jersey income tax.  The Trust invests primarily in investment grade New Jersey municipal bonds.",www.blackrock.com,0,0,-2,1
61,BFY US Equity,BlackRock New York Municipal Income Trust II,14.73,$73.63M,2002,n/a,n/a,http://www.nasdaq.com/symbol/bfy,"BlackRock New York Municipal Income Trust II is a non-diversified, closed-end management investment company incorporated in the USA.  The Trust's objective is to provide current income exempt from regular Federal income tax and New York State and New York City personal income taxes.  The Trust invests primarily in investment grade New York municipal bonds.",www.blackrock.com,0,0,0,0
62,BPS US Equity,BlackRock Pennsylvania Strategic Municipal Trust (The),13.23,$26.88M,1999,n/a,n/a,http://www.nasdaq.com/symbol/bps,"BlackRock Pennsylvania Strategic Municipal Trust is a non-diversified, closed-end management investment company incorporated in the USA.  The Trust's objective is to provide current income that is exempt from federal and Pennsylvania State income tax.  The Trust invests 80% of its total assets in investment grade tax-exempt municipal obligations.",www.blackrock.com,0,0,0,0
63,BHV US Equity,BlackRock Virginia Municipal Bond Trust,16.76,$26.66M,2002,n/a,n/a,http://www.nasdaq.com/symbol/bhv,"BlackRock Virginia Municipal Bond Trust is a non-diversified, closed-end management investment company incorporated in the USA.  The Trust's objective is current income exempt from regular Federal and Virginia income tax.  The Trust invests primarily in investment grade Virginia municipal bonds.",www.blackrock.com,0,0,4,0
64,BDR US Equity,"Blonder Tongue Laboratories, Inc.",1.76,$10.96M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/bdr,"Blonder Tongue Laboratories, Inc. designs, manufactures, and supplies electronics and systems equipment for the franchised and private cable television industries.  The Company's products are used in the acquisition, conversion, distribution, and protection of communications signals on fiber optic, coaxial cable, and wireless distribution systems.",www.blondertongue.com,0,0,1,1
65,BRG US Equity,"Bluerock Residential Growth REIT, Inc.",13.28,$161.1M,2014,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/brg,"Bluerock Residential Growth REIT, Inc. operates as a real estate investment trust. The Company acquires apartment properties.",www.bluerockresidential.com,0,0,0,0
66,BVX US Equity,Bovie Medical Corporation,3.5844,$63.94M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bvx,na,www.boviemedical.com,0,0,2,0
67,BWL/A US Equity,"Bowl America, Inc.",15.25,n/a,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/bwl/a,"Bowl America Incorporated operates bowling centers in Washington, D.C., Maryland, Florida, and Virginia.  The Company's bowling centers offer food and beverages, game rooms, rental lockers, and playroom facilities.",www.bowl-america.com,0,0,3,1
68,BZC US Equity,Breeze-Eastern Corporation,10.0956,$99.1M,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/bzc,"Breeze-Eastern Corporation manufactures, sells, and services a complete line of lifting and restraining products, principally helicopter rescue hoists, cargo winches, cargo hook systems, mechanical components such as hold open rods, and application-specific motion control systems.  The Company's products are sold primarily to military and civilian agencies and aerospace contractors.",www.breeze-eastern.com,0,0,0,0
69,BTI US Equity,British American Tobacco p.l.c.,113.45,$105.74B,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/bti,na,www.bat.com,0,0,0,0
70,CAK US Equity,CAMAC Energy Inc.,0.3801,$481.88M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cak,"CAMAC Energy Inc. is an independent oil and gas exploration and production company. The Company focuses on operating energy resources located in Africa. CAMAC Energy owns a portfolio of onshore and offshore assets in Nigeria, Kenya and Gambia.",www.camacenergy.com,0,0,20,0
71,CANF US Equity,Can-Fite Biopharma Ltd,4.15,$36.77M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/canf,Can Fite Biopharma Ltd. is a biopharmaceutical company.  The Company develops treatments for autoimmune diseases and cancer.,www.canfite.com,0,0,9,0
72,ROX US Equity,"Castle Brands, Inc.",1.57,$246.39M,2006,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/rox,"Castle Brands, Inc. develops and markets premium and super premium brands in the following beverage alcohol categories: rum, whiskey, liqueurs, vodka and tequila.",www.castlebrandsinc.com,0,0,4,1
73,CAW US Equity,"CCA Industries, Inc.",3.5,$24.52M,n/a,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/caw,"CCA Industries, Inc. markets health and beauty aids.  The Company's products include nail treatment, hair treatment, skin care, oral health, and dietary products.  CCA Industries' products are sold to drug and food chains, mass merchandisers, and wholesale beauty-aids distributors throughout the United States and Canada.",www.ccaindustries.com,0,0,1,0
74,CVM US Equity,Cel-Sci Corporation,0.8901,$81.48M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cvm,"CEL-SCI Corporation researches and develops certain drugs and vaccines.  The Company's Multikine is being tested to determine if it is effective in improving the immune response of cancer patients.  CEL-SCI is also developing other products.  The Company is currently targeting diseases such as AIDS, herpes simplex, malaria, tuberculosis, prostate cancer, and breast cancer.",www.cel-sci.com,0,0,4,0
75,CVM/WS US Equity,Cel-Sci Corporation,0.195,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cvm/ws,"CEL-SCI Corporation researches and develops certain drugs and vaccines.  The Company's Multikine is being tested to determine if it is effective in improving the immune response of cancer patients.  CEL-SCI is also developing other products.  The Company is currently targeting diseases such as AIDS, herpes simplex, malaria, tuberculosis, prostate cancer, and breast cancer.",www.cel-sci.com,0,0,10,0
76,CEF US Equity,Central Fund of Canada Limited,12.15,$3.09B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cef,"Central Fund of Canada Limited is a closed-end management investment company incorporated in Canada. The Fund's objective is capital appreciation. The Fund invests primarily in long-term holdings of gold and silver bullion. The Fund intends to maintain 90% of its net assets in gold and silver bullion, at least 85% must be in the form of physical bullion holdings.",www.centralfund.com,0,0,-2,-1
77,GTU US Equity,Central Gold Trust,41.79,$806.51M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gtu,"Central Gold Trust is a passive, single purpose, self-governing trust established in Canada. The Trust invests substantially all of its assets in gold bullion, with the primary investment objective of achieving long-term appreciation in the value of its gold holdings.",www.gold-trust.com,0,0,-2,0
78,CET US Equity,Central Securities Corporation,21.91,$543.79M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cet,"Central Securities Corporation is a non-diversified, closed-end management investment company incorporated in the USA.  The Fund's objective is growth of capital with current income as a secondary consideration.  The Fund invests primarily in common stocks, with some emphasis on special situations.",www.centralsecurities.com,0,0,1,0
79,CCF US Equity,Chase Corporation,42.86,$391.29M,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ccf,"Chase Corporation manufactures protective coatings and tape products.  The Company's products consist of insulating and conducting materials, protective pipe coating tapes and other protectants, protectants for highway bridge deck metal surfaces, thermo-electric insulation, and moisture protective coatings. Chase, through its subsidiary, provides circuit board assembly service.",www.chasecorp.com,0,0,6,2
80,CQH US Equity,"Cheniere Energy Partners LP Holdings, LLC",22.97,$5.32B,2013,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/cqh,"Cheniere Energy Partners LP Holdings, LLC owns and operates liquefied natural gas (""LNG"") regasification facilities.",www.chenierepartnersholdings.com,0,0,0,0
